field,query,expected,predicted
trip_duration,"Friends vacation to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",8,2
start_date,"Friends vacation to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",2025-06-02,2025-11-05
end_date,"Friends vacation to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",2025-06-10,2025-11-06
trip_duration,"Friends vacation to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",8,2
start_date,"Friends trip to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",2025-06-02,2025-11-05
end_date,"Friends trip to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",2025-06-10,2025-11-06
trip_duration,"Friends trip to Cape Town (2025-06-02–2025-06-10) with $1500 for 6 people, prefer hotel, focusing on nightlife, hiking, photography.",8,2
start_date,"Family vacation to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",2025-09-12,2025-11-05
end_date,"Family vacation to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",2025-09-16,2025-11-06
trip_duration,"Family vacation to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",4,2
start_date,"Family vacation to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",2025-09-12,2025-11-05
end_date,"Family vacation to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",2025-09-16,2025-11-06
trip_duration,"Family vacation to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",4,2
start_date,"Family trip to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",2025-09-12,2025-11-05
end_date,"Family trip to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",2025-09-16,2025-11-06
trip_duration,"Family trip to Paris (2025-09-12–2025-09-16) with $3000 for 4 people, prefer Airbnb, focusing on photography, beaches.",4,2
start_date,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",2025-02-02,2025-11-05
end_date,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",2025-02-06,2025-11-06
trip_duration,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",4,2
start_date,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",2025-02-02,2025-11-05
end_date,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",2025-02-06,2025-11-06
trip_duration,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",4,2
start_date,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",2025-02-02,2025-11-05
end_date,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",2025-02-06,2025-11-06
trip_duration,"Friends vacation to Cape Town (2025-02-02–2025-02-06) with $800 for 6 people, prefer hostel, focusing on hiking, wildlife.",4,2
group_size,"Plan a friends trip to Bangkok from 2025-07-21 to 2025-07-27 staying in a villa, budget $3000, interested in nightlife.",5,3
group_size,"Plan a friends trip to Bangkok from 2025-07-21 to 2025-07-27 staying in a villa, cost $3000, interested in nightlife.",5,3
group_size,"Plan a friends trip to Bangkok from 2025-07-21 to 2025-07-27 staying in a villa, budget $3000, interested in nightlife.",5,3
end_date,"Plan a friends trip to Dubai from 2025-10-09 to 2025-10-12 staying in a Airbnb, budget $3000, interested in relaxation, photography.",2025-10-12,2025-12-10
trip_duration,"Plan a friends trip to Dubai from 2025-10-09 to 2025-10-12 staying in a Airbnb, budget $3000, interested in relaxation, photography.",3,63
end_date,"Help me plan a friends trip to Dubai from 2025-10-09 to 2025-10-12 staying in a Airbnb, cost $3000, focusing on relaxation, photography.",2025-10-12,2025-12-10
trip_duration,"Help me plan a friends trip to Dubai from 2025-10-09 to 2025-10-12 staying in a Airbnb, cost $3000, focusing on relaxation, photography.",3,63
end_date,"Plan a friends trip to Dubai from 2025-10-09 to 2025-10-12 staying in a Airbnb, budget $3000, focusing on relaxation, photography.",2025-10-12,2025-12-10
trip_duration,"Plan a friends trip to Dubai from 2025-10-09 to 2025-10-12 staying in a Airbnb, budget $3000, focusing on relaxation, photography.",3,63
start_date,"Couple vacation to Sydney (2025-01-12–2025-01-15) with $2000 for 2 people, prefer Airbnb, focusing on wildlife, adventure.",2025-01-12,2025-11-05
end_date,"Couple vacation to Sydney (2025-01-12–2025-01-15) with $2000 for 2 people, prefer Airbnb, focusing on wildlife, adventure.",2025-01-15,2025-11-06
start_date,"Couple trip to Sydney (2025-01-12–2025-01-15) with $2000 for 2 people, prefer Airbnb, focusing on wildlife, adventure.",2025-01-12,2025-11-05
end_date,"Couple trip to Sydney (2025-01-12–2025-01-15) with $2000 for 2 people, prefer Airbnb, focusing on wildlife, adventure.",2025-01-15,2025-11-06
start_date,"Couple trip to Sydney (2025-01-12–2025-01-15) with $2000 for 2 people, prefer Airbnb, focusing on wildlife, adventure.",2025-01-12,2025-11-05
end_date,"Couple trip to Sydney (2025-01-12–2025-01-15) with $2000 for 2 people, prefer Airbnb, focusing on wildlife, adventure.",2025-01-15,2025-11-06
start_date,"Looking for a 4-day friends getaway to Rome, around $1200, staying at a hotel, mainly for wildlife, photography, beaches.",2025-03-20,
end_date,"Looking for a 4-day friends getaway to Rome, around $1200, staying at a hotel, mainly for wildlife, photography, beaches.",2025-03-24,
trip_duration,"Looking for a 4-day friends getaway to Rome, around $1200, staying at a hotel, mainly for wildlife, photography, beaches.",4,
start_date,"Looking for a 4-day friends getaway to Rome, around $1200, staying at a hotel, mainly for wildlife, photography, beaches.",2025-03-20,
end_date,"Looking for a 4-day friends getaway to Rome, around $1200, staying at a hotel, mainly for wildlife, photography, beaches.",2025-03-24,
trip_duration,"Looking for a 4-day friends getaway to Rome, around $1200, staying at a hotel, mainly for wildlife, photography, beaches.",4,
start_date,"Looking for a 4-day friends getaway to Rome, about $1200, staying at a hotel, mainly for wildlife, photography, beaches.",2025-03-20,
end_date,"Looking for a 4-day friends getaway to Rome, about $1200, staying at a hotel, mainly for wildlife, photography, beaches.",2025-03-24,
trip_duration,"Looking for a 4-day friends getaway to Rome, about $1200, staying at a hotel, mainly for wildlife, photography, beaches.",4,
start_date,"Couple vacation to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",2025-08-08,2025-11-05
end_date,"Couple vacation to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",2025-08-16,2025-11-06
trip_duration,"Couple vacation to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",8,2
start_date,"Couple trip to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",2025-08-08,2025-11-05
end_date,"Couple trip to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",2025-08-16,2025-11-06
trip_duration,"Couple trip to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",8,2
start_date,"Couple trip to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",2025-08-08,2025-11-05
end_date,"Couple trip to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",2025-08-16,2025-11-06
trip_duration,"Couple trip to Tokyo (2025-08-08–2025-08-16) with $3000 for 2 people, prefer hotel, focusing on wildlife, adventure, relaxation.",8,2
start_date,"Family vacation to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",2025-07-15,2025-11-05
end_date,"Family vacation to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",2025-07-23,2025-11-06
trip_duration,"Family vacation to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",8,2
start_date,"Family vacation to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",2025-07-15,2025-11-05
end_date,"Family vacation to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",2025-07-23,2025-11-06
trip_duration,"Family vacation to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",8,2
start_date,"Family trip to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",2025-07-15,2025-11-05
end_date,"Family trip to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",2025-07-23,2025-11-06
trip_duration,"Family trip to New York (2025-07-15–2025-07-23) with $800 for 4 people, prefer Airbnb, focusing on art, shopping, wildlife.",8,2
start_date,"Looking for a 3-day couple getaway to Bali, around $3000, staying at a hotel, mainly for wildlife.",2025-01-26,
end_date,"Looking for a 3-day couple getaway to Bali, around $3000, staying at a hotel, mainly for wildlife.",2025-01-29,
trip_duration,"Looking for a 3-day couple getaway to Bali, around $3000, staying at a hotel, mainly for wildlife.",3,
start_date,"Looking for a 3-day couple getaway to Bali, about $3000, booked in a hotel, mainly for wildlife.",2025-01-26,
end_date,"Looking for a 3-day couple getaway to Bali, about $3000, booked in a hotel, mainly for wildlife.",2025-01-29,
trip_duration,"Looking for a 3-day couple getaway to Bali, about $3000, booked in a hotel, mainly for wildlife.",3,
start_date,"I want a 3-day couple getaway to Bali, around $3000, staying at a hotel, mainly for wildlife.",2025-01-26,
end_date,"I want a 3-day couple getaway to Bali, around $3000, staying at a hotel, mainly for wildlife.",2025-01-29,
trip_duration,"I want a 3-day couple getaway to Bali, around $3000, staying at a hotel, mainly for wildlife.",3,
start_date,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",2025-05-31,2025-11-05
end_date,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",2025-06-08,2025-11-06
trip_duration,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",8,2
start_date,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",2025-05-31,2025-11-05
end_date,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",2025-06-08,2025-11-06
trip_duration,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",8,2
start_date,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",2025-05-31,2025-11-05
end_date,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",2025-06-08,2025-11-06
trip_duration,"Solo vacation to New York (2025-05-31–2025-06-08) with $3000 for 1 people, prefer villa, focusing on photography, hiking, art.",8,2
start_date,"Family vacation to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",2025-01-10,2025-11-05
end_date,"Family vacation to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",2025-01-19,2025-11-06
trip_duration,"Family vacation to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",9,2
start_date,"Family vacation to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",2025-01-10,2025-11-05
end_date,"Family vacation to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",2025-01-19,2025-11-06
trip_duration,"Family vacation to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",9,2
start_date,"Family trip to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",2025-01-10,2025-11-05
end_date,"Family trip to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",2025-01-19,2025-11-06
trip_duration,"Family trip to London (2025-01-10–2025-01-19) with $1500 for 5 people, prefer resort, focusing on shopping, hiking, art.",9,2
group_size,"Plan a friends trip to New York from 2025-10-16 to 2025-10-19 staying in a hostel, budget $1500, interested in adventure, hiking, shopping.",5,3
group_size,"Plan a friends trip to New York from 2025-10-16 to 2025-10-19 staying in a hostel, budget $1500, interested in adventure, hiking, shopping.",5,3
group_size,"Plan a friends trip to New York from 2025-10-16 to 2025-10-19 staying in a hostel, cost $1500, interested in adventure, hiking, shopping.",5,3
start_date,"Looking for a 9-day friends getaway to Bangkok, around $2000, staying at a villa, mainly for history.",2025-06-29,
end_date,"Looking for a 9-day friends getaway to Bangkok, around $2000, staying at a villa, mainly for history.",2025-07-08,
trip_duration,"Looking for a 9-day friends getaway to Bangkok, around $2000, staying at a villa, mainly for history.",9,
start_date,"Looking for a 9-day friends holiday to Bangkok, around $2000, booked in a villa, mainly for history.",2025-06-29,
end_date,"Looking for a 9-day friends holiday to Bangkok, around $2000, booked in a villa, mainly for history.",2025-07-08,
trip_duration,"Looking for a 9-day friends holiday to Bangkok, around $2000, booked in a villa, mainly for history.",9,
start_date,"I want a 9-day friends getaway to Bangkok, about $2000, staying at a villa, mainly for history.",2025-06-29,
end_date,"I want a 9-day friends getaway to Bangkok, about $2000, staying at a villa, mainly for history.",2025-07-08,
trip_duration,"I want a 9-day friends getaway to Bangkok, about $2000, staying at a villa, mainly for history.",9,
start_date,"Solo vacation to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",2025-07-21,2025-11-05
end_date,"Solo vacation to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",2025-07-29,2025-11-06
trip_duration,"Solo vacation to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",8,2
start_date,"Solo vacation to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",2025-07-21,2025-11-05
end_date,"Solo vacation to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",2025-07-29,2025-11-06
trip_duration,"Solo vacation to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",8,2
start_date,"Solo trip to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",2025-07-21,2025-11-05
end_date,"Solo trip to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",2025-07-29,2025-11-06
trip_duration,"Solo trip to Sydney (2025-07-21–2025-07-29) with $1200 for 1 people, prefer villa, focusing on adventure.",8,2
start_date,"Looking for a 10-day couple getaway to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",2025-09-14,
end_date,"Looking for a 10-day couple getaway to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",2025-09-24,
trip_duration,"Looking for a 10-day couple getaway to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",10,
start_date,"I want a 10-day couple getaway to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",2025-09-14,
end_date,"I want a 10-day couple getaway to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",2025-09-24,
trip_duration,"I want a 10-day couple getaway to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",10,
start_date,"Looking for a 10-day couple holiday to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",2025-09-14,
end_date,"Looking for a 10-day couple holiday to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",2025-09-24,
trip_duration,"Looking for a 10-day couple holiday to Tokyo, around $1500, staying at a resort, mainly for history, photography, food.",10,
start_date,"Family vacation to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",2025-10-24,2025-11-05
end_date,"Family vacation to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",2025-10-30,2025-11-06
trip_duration,"Family vacation to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",6,2
start_date,"Family trip to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",2025-10-24,2025-11-05
end_date,"Family trip to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",2025-10-30,2025-11-06
trip_duration,"Family trip to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",6,2
start_date,"Family trip to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",2025-10-24,2025-11-05
end_date,"Family trip to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",2025-10-30,2025-11-06
trip_duration,"Family trip to Paris (2025-10-24–2025-10-30) with $1500 for 3 people, prefer villa, focusing on relaxation, history, hiking.",6,2
start_date,"Looking for a 5-day friends getaway to Rome, around $2000, staying at a Airbnb, mainly for culture, shopping.",2025-08-29,
end_date,"Looking for a 5-day friends getaway to Rome, around $2000, staying at a Airbnb, mainly for culture, shopping.",2025-09-03,
trip_duration,"Looking for a 5-day friends getaway to Rome, around $2000, staying at a Airbnb, mainly for culture, shopping.",5,
group_size,"Looking for a 5-day friends getaway to Rome, around $2000, staying at a Airbnb, mainly for culture, shopping.",6,3
start_date,"Looking for a 5-day friends holiday to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",2025-08-29,
end_date,"Looking for a 5-day friends holiday to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",2025-09-03,
trip_duration,"Looking for a 5-day friends holiday to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",5,
group_size,"Looking for a 5-day friends holiday to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",6,3
start_date,"Looking for a 5-day friends getaway to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",2025-08-29,
end_date,"Looking for a 5-day friends getaway to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",2025-09-03,
trip_duration,"Looking for a 5-day friends getaway to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",5,
group_size,"Looking for a 5-day friends getaway to Rome, around $2000, booked in a Airbnb, mainly for culture, shopping.",6,3
start_date,"Looking for a 10-day family getaway to Bali, around $5000, staying at a hostel, mainly for adventure, beaches.",2025-06-25,
end_date,"Looking for a 10-day family getaway to Bali, around $5000, staying at a hostel, mainly for adventure, beaches.",2025-07-05,
trip_duration,"Looking for a 10-day family getaway to Bali, around $5000, staying at a hostel, mainly for adventure, beaches.",10,
start_date,"Looking for a 10-day family getaway to Bali, around $5000, booked in a hostel, mainly for adventure, beaches.",2025-06-25,
end_date,"Looking for a 10-day family getaway to Bali, around $5000, booked in a hostel, mainly for adventure, beaches.",2025-07-05,
trip_duration,"Looking for a 10-day family getaway to Bali, around $5000, booked in a hostel, mainly for adventure, beaches.",10,
start_date,"I want a 10-day family getaway to Bali, about $5000, staying at a hostel, mainly for adventure, beaches.",2025-06-25,
end_date,"I want a 10-day family getaway to Bali, about $5000, staying at a hostel, mainly for adventure, beaches.",2025-07-05,
trip_duration,"I want a 10-day family getaway to Bali, about $5000, staying at a hostel, mainly for adventure, beaches.",10,
start_date,"Looking for a 5-day family getaway to Dubai, around $3000, staying at a villa, mainly for food.",2025-04-29,
end_date,"Looking for a 5-day family getaway to Dubai, around $3000, staying at a villa, mainly for food.",2025-05-04,
trip_duration,"Looking for a 5-day family getaway to Dubai, around $3000, staying at a villa, mainly for food.",5,
start_date,"Looking for a 5-day family holiday to Dubai, around $3000, staying at a villa, mainly for food.",2025-04-29,
end_date,"Looking for a 5-day family holiday to Dubai, around $3000, staying at a villa, mainly for food.",2025-05-04,
